order_approved_at,order_id
2018-08-31,6620
2018-07-31,6176
2018-06-30,6164
2018-05-31,7066
2018-04-30,6778
2018-03-31,7288
2018-02-28,6706
2018-01-31,7187
2017-12-31,5832
2017-11-30,7395
2017-10-31,4590
2017-09-30,4301
2017-08-31,4348
2017-07-31,3974
2017-06-30,3252
2017-05-31,3693
2017-04-30,2374
2017-03-31,2689
2017-02-28,1765
2017-01-31,760
2016-12-31,1
2016-11-30,0
2016-10-31,320
2016-09-30,1
